subject,predicate,object
criminal:Fact,rdfs:comment,<A fact related to an event or offence in criminal cases.>
criminal:Role,rdfs:comment,<A functional or social role associated with a person or participant.>
criminal:Offence,rdfs:comment,<An act or omission which constitutes a criminal wrongdoing.>
criminal:isAssociatedWith,rdfs:comment,<Associates a conviction with an offence.>
criminal:Punishment,rdfs:comment,<Consequence imposed on a person as a result of a conviction.>
criminal:Convict,rdfs:label,<Convict>
criminal:Conviction,rdfs:label,<Conviction>
criminal:hasParticipant,rdfs:comment,<Defines a participant in a crime-related event or offence.>
criminal:contains,rdfs:comment,<Denotes events or facts involved in an offence or related event.>
criminal:initiates,rdfs:comment,<Describes the initiation of an event by a person.>
criminal:concerns,rdfs:comment,<Describes the involvement of an event in another event or issue.>
criminal:Fact,rdfs:label,<Fact>
criminal:Fine,rdfs:label,<Fine>
criminal:Imprisonment,rdfs:label,<Imprisonment>
criminal:hasFact,rdfs:comment,<Indicates a fact associated with an event.>
criminal:hasConviction,rdfs:comment,<Indicates a person’s conviction.>
criminal:hasPunishment,rdfs:comment,<Indicates a punishment related to a conviction.>
criminal:hasResource,rdfs:comment,<Indicates a resource associated with a person.>
criminal:knows,rdfs:comment,<Indicates acquaintance or relation between two persons.>
criminal:prosecutes,rdfs:comment,<Indicates that a person is prosecuting an event.>
criminal:issues,rdfs:comment,<Indicates that an organization issues or triggers an event.>
criminal:hasMaritalStatus,rdfs:comment,<Indicates the marital status of a person.>
criminal:hasProfession,rdfs:comment,<Indicates the profession of a person.>
criminal:residesAt,rdfs:comment,<Indicates the residence of a person.>
criminal:Suspect,rdfs:comment,<Individual believed to have committed an offence.>
criminal:Convict,rdfs:comment,<Individual found guilty of an offence.>
criminal:Conviction,rdfs:comment,<Legal decision regarding guilt of an accused individual.>
criminal:Restriction,rdfs:comment,<Limitation imposed on a person's freedom as punishment.>
criminal:Fine,rdfs:comment,<Monetary penalty imposed as punishment.>
criminal:Offence,rdfs:label,<Offence>
criminal:Punishment,rdfs:label,<Punishment>
criminal:Restriction,rdfs:label,<Restriction>
criminal:Role,rdfs:label,<Role>
