"offenseType","count"
"http://growgraph.dev/fcaont#ViolentOffense","537"
"http://growgraph.dev/fcaont#PropertyOffense","264"
"http://growgraph.dev/fcaont#PublicOrderCrime","262"
"http://growgraph.dev/fcaont#DrugOffense","239"
"http://growgraph.dev/fcaont#Fraud","232"
"http://growgraph.dev/fcaont#Homicide","220"
"http://growgraph.dev/fcaont#WhiteCollarOffense","137"
"http://growgraph.dev/fcaont#MoneyLaundering","111"
"http://growgraph.dev/fcaont#Assault","98"
"http://growgraph.dev/fcaont#Robbery","47"
"http://growgraph.dev/fcaont#Theft","47"
"http://growgraph.dev/fcaont#OffenseType","30"
"http://growgraph.dev/fcaont#Embezzlement","13"
"http://growgraph.dev/fcaont#CyberCrime","12"
"http://growgraph.dev/fcaont#Vandalism","8"
"http://growgraph.dev/fcaont#Disorderly_Conduct","3"
"http://growgraph.dev/fcaont#Burglary","1"
